typeModification : MODIFICATION/CREATION/SUPPRESSION;id ROP;reference ROP;fibre HS;motif si HS;PTO a creer (oui/non, a preciser en cas de creation de ROP);reference bandeau;reference PTO;statut PTO;type prise;reference prise promoteur;reference logement;id immeuble;reference batiment;reference escalier;reference etage;id PBO;reference PBO;reference cable PBO;couleur tube PBO;couleur fibre PBO;numero fibre tube PBO;numero port PTO;reference PM;reference PMT;localisation PMT;reference cable PM;couleur tube PM;couleur fibre PM;usage operateur;reference module PM;position module PM;client actif
;1031973;[BE-SRO-BPI-7674981-SC-10946759-01][BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN][Rouge][Vert];Non;;;;ZM-1264-8548;CONSTRUITE;FTTH;;;ID-7668100005KK;BATIMENT-13;ESCALIER-A;ETAGE-02;182831;BE-SRO-BPI-7674981-SC-10946759-01;BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN;Rouge;Vert;3;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Vert Fonce-3Bagues;Vert;partage;B2-T8-MODULE-B;3;Oui
;1039805;[BE-SRO-BPI-7674981-SC-10946759-01][BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN][Rouge][Jaune];Non;;;;ZM-1264-8559;CONSTRUITE;FTTH;;;ID-7668100005KK;BATIMENT-13;ESCALIER-A;ETAGE-02;182831;BE-SRO-BPI-7674981-SC-10946759-01;BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN;Rouge;Jaune;4;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Vert Fonce-3Bagues;Jaune;partage;B2-T8-MODULE-B;4;Oui
;833612;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Bleu];Non;;;;ZM-0655-9542;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-02;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Bleu;2;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-3Bagues;Noir;partage;B2-T3-MODULE-E;22;Oui
;836552;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Jaune];Non;;;;ZM-0655-9465;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-01;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Jaune;10;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Blanc;partage;B2-T3-MODULE-F;6;Oui
;879559;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Blanc];Non;;;;ZM-0655-9575;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-02;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Blanc;12;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Gris;partage;B2-T3-MODULE-F;8;Non
;879567;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Vert];Non;;;;ZM-0655-9487;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-02;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Vert;3;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-3Bagues;Turquoise;partage;B2-T3-MODULE-E;23;Oui
;879571;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Blanc];Non;;;;;;;;;;;;;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Blanc;6;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Bleu;partage;B2-T3-MODULE-F;2;Non
;891592;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Bleu];Non;;;;ZM-0655-9531;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-RDC;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Bleu;8;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Jaune;partage;B2-T3-MODULE-F;4;Oui
;891838;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Violet];Non;;;;ZM-0655-9454;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-01;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Violet;5;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Rouge;partage;B2-T3-MODULE-F;1;Non
;891842;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Violet];Non;;;;ZM-0655-9564;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-02;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Violet;11;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Orange;partage;B2-T3-MODULE-F;7;Non
;892952;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Jaune];Non;;;;ZM-0655-9553;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-01;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Jaune;4;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-3Bagues;Rose;partage;B2-T3-MODULE-E;24;Non
;892965;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Rouge][Rouge];Non;;;;ZM-0655-9498;CONSTRUITE;FTTH;;;ID-7668100005CU;BATIMENT-3;ESCALIER-A;ETAGE-RDC;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Rouge;Rouge;1;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-3Bagues;Marron;partage;B2-T3-MODULE-E;21;Non
;899451;[BE-SRO-BPI-7674981-SC-9929521-01][BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN][Bleu][Vert];Non;;;;;;;;;;;;;173525;BE-SRO-BPI-7674981-SC-9929521-01;BPE-216-FT / BE-01-02 / SOTTEVILLE-LES-ROUEN;Bleu;Vert;9;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-3Bagues;Violet;partage;B2-T3-MODULE-F;5;Non
